,FeF20+Zn(Hg)_probe405nm_13mW_1800BLZ_10s_10acc,
Wavelength [nm],Counts,
405.58777,5804,
405.61624,5818.4668,
405.64471,5808.7814,
405.67318,5796.3843,
405.70165,5807.8717,
405.73012,5800.9495,
405.75859,5792.7002,
405.78706,5778.2122,
405.81553,5791.2085,
405.84400,5791.8632,
405.87247,5783.8258,
405.90094,5774.2711,
405.92941,5779.8042,
405.95788,5767.4964,
405.98635,5762.151,
406.01482,5767.3359,
406.04329,5757.5023,
406.07176,5755.4147,
406.10023,5763.413,
406.12870,5767.0029,
406.15717,5761.6864,
406.18564,5770.1114,
406.21411,5771.4116,
406.24258,5756.5849,
406.27105,5755.3072,
406.29952,5738.3978,
406.32799,5754.5405,
406.35646,5750.5187,
406.38494,5759.0234,
406.41341,5759.9893,
406.44188,5770.5067,
406.47035,5747.9726,
406.49882,5737.1292,
406.52729,5733.4406,
406.55576,5746.1074,
406.58423,5745.0732,
406.61270,5728.9691,
406.64117,5727.5889,
406.66964,5733.1044,
406.69811,5728.4959,
406.72658,5731.7847,
406.75505,5740.0826,
406.78352,5734.2045,
406.81199,5737.3251,
406.84046,5738.3089,
406.86893,5737.5401,
406.89740,5738.4283,
406.92587,5734.1896,
406.95434,5746.2025,
406.98281,5743.2156,
407.01128,5740.9149,
407.03975,5725.7537,
407.06822,5731.1748,
407.09669,5724.3184,
407.12516,5739.6058,
407.15363,5744.66,
407.18210,5756.4855,
407.21057,5750.841,
407.23904,5748.3243,
407.26751,5763.8016,
407.29598,5780.2348,
407.32445,5792.9915,
407.35292,5802.899,
407.38139,5841.7273,
407.40986,5872.7506,
407.43833,5923.974,
407.46680,6014.3148,
407.49527,6114.7193,
407.52374,6235.5485,
407.55221,6430.6388,
407.58068,6674.471,
407.60915,6957.4448,
407.63762,7278.9167,
407.66609,7660.8783,
407.69456,8071.4967,
407.72303,8437.9165,
407.75150,8745.8943,
407.77997,8971.2216,
407.80844,9099.5247,
407.83691,9186.0302,
407.86538,9217.2321,
407.89385,9164.4929,
407.92232,9074.249,
407.95079,9030.2724,
407.97926,8919.3208,
408.00773,8882.6411,
408.03620,8788.7718,
408.06467,8747.7122,
408.09314,8702.8382,
408.12161,8649.8827,
408.15008,8489.0483,
408.17855,8477.3763,
408.20702,8414.179,
408.23549,8390.9601,
408.26396,8342.5855,
408.29243,8313.1883,
408.32090,8253.6437,
408.34937,8200.2685,
408.37784,8125.7831,
408.40631,8118.7164,
408.43478,8112.9392,
408.46325,8076.9454,
408.49172,8028.2285,
408.52019,7986.2093,
408.54866,7987.5109,
408.57713,7980.5968,
408.60560,7956.8787,
408.63407,7923.2097,
408.66254,7888.6218,
408.69101,7852.3206,
408.71948,7802.0782,
408.74795,7782.6324,
408.77642,7760.5425,
408.80489,7723.0853,
408.83336,8336.4821,
408.86183,9514.9611,
408.89030,7712.5744,
408.91877,7853.8185,
408.94724,7858.376,
408.97571,7619.0896,
409.00418,7568.8953,
409.03265,7586.3362,
409.06112,7712.0651,
409.08959,7554.8878,
409.11806,7446.1815,
409.14653,7395.8882,
409.17500,7382.9578,
409.20347,7369.6286,
409.23194,7340.6572,
409.26041,7340.1265,
409.28888,7300.3937,
409.31735,7310.7129,
409.34582,7290.427,
409.37429,7303.6939,
409.40276,7300.0747,
409.43123,7305.0742,
409.45970,7322.8298,
409.48817,7336.5326,
409.51664,7326.8709,
409.54511,7302.0507,
409.57358,7303.7136,
409.60205,7298.7843,
409.63052,7271.3354,
409.65899,7276.3619,
409.68747,7292.4539,
409.71594,7272.7393,
409.74441,7253.7351,
409.77288,7260.0542,
409.80135,7235.5162,
409.82982,7201,
409.85829,7200.5507,
409.88676,7201.5561,
409.91523,7218.4077,
409.94370,7242.2627,
409.97217,7196.2406,
410.00064,7207.1042,
410.02911,7219.4,
410.05758,7226.0882,
410.08605,7229.012,
410.11452,7235.8185,
410.14299,7244.5183,
410.17146,7250.5136,
410.19993,7261.6974,
410.22840,7220.6633,
410.25687,7281.7667,
410.28534,7334.6552,
410.31381,7335.398,
410.34228,7323.188,
410.37075,7347.6482,
410.39922,7404.2296,
410.42769,7418.6131,
410.45616,7418.5853,
410.48463,7456.5417,
410.51310,7564.3084,
410.54157,7678.4228,
410.57004,7781.3355,
410.59851,7881.6334,
410.62698,7981.3722,
410.65545,8054.0484,
410.68392,8090.7078,
410.71239,8120.4851,
410.74086,8122.0453,
410.76933,8089.6223,
410.79780,8044.8748,
410.82627,8024.5024,
410.85474,8058.7021,
410.88321,8176.5322,
410.91168,8262.4446,
410.94015,8413.5739,
410.96862,8626.3061,
410.99709,8975.1232,
411.02556,9288.4833,
411.05403,9606.0781,
411.08250,10126.483,
411.11097,10687.106,
411.13944,11472.121,
411.16791,12243.718,
411.19638,13044.195,
411.22485,13890.014,
411.25332,14690.412,
411.28179,15143.443,
411.31026,15235.949,
411.33873,15079.63,
411.36720,14401.316,
411.39567,13635.098,
411.42414,12821.918,
411.45261,11934.315,
411.48108,11025.363,
411.50955,10290.383,
411.53802,9693.4238,
411.56649,9288.0626,
411.59496,8949.5832,
411.62343,8657.904,
411.65190,8423.033,
411.68037,8225.1707,
411.70884,8111.5947,
411.73731,8011.1432,
411.76578,7901.4115,
411.79425,7821.5498,
411.82272,7747.2054,
411.85119,7686.2045,
411.87966,7616.1796,
411.90813,7582.9732,
411.93660,7565.5423,
411.96507,7528.9518,
411.99354,7453.8363,
412.02201,7384.6652,
412.05048,7390.4274,
412.07895,7377.2125,
412.10742,7314.993,
412.13589,7312.2185,
412.16436,7270.9928,
412.19283,7313.6604,
412.22130,7289.9543,
412.24977,7276.6884,
412.27824,7291.1991,
412.30671,7299.9856,
412.33518,7281.48,
412.36365,7319.996,
412.39212,7244.0851,
412.42059,7233.4798,
412.44906,7215.3883,
412.47753,7188.1419,
412.50600,7209.8483,
412.53447,7181.7691,
412.56294,7168.4892,
412.59141,7167,
412.61988,7150.7003,
412.64835,7127.7729,
412.67682,7132.8107,
412.70529,7113.8172,
412.73376,7092.268,
412.76223,7107.0288,
412.79070,7085.8319,
412.81917,7063.4197,
412.84764,7079.1681,
412.87611,7090.3955,
412.90458,7077.7318,
412.93305,7073.8544,
412.96152,7069.7904,
412.99000,7068.5591,
413.01847,7073.2907,
413.04694,7061.5991,
413.07541,7073.8132,
413.10388,7096.3927,
413.13235,7091.3538,
413.16082,7060.486,
413.18929,7063.9796,
413.21776,7057.1342,
413.24623,7045.6423,
413.27470,7031.1188,
413.30317,7051.0064,
413.33164,7049.1676,
413.36011,7012.3186,
413.38858,7055.7833,
413.41705,7053.4469,
413.44552,7095.1737,
413.47399,7082.226,
413.50246,7023.9134,
413.53093,7118.8329,
413.55940,7077.0398,
413.58787,7083.89,
413.61634,7079.1853,
413.64481,7134.5564,
413.67328,7136.1592,
413.70175,7165.6733,
413.73022,7213.7804,
413.75869,7179.7231,
413.78716,7147.9226,
413.81563,7170.7074,
413.84410,7187.3218,
413.87257,7198.5041,
413.90104,7193.4773,
413.92951,7134.6757,
413.95798,7141.0086,
413.98645,7132.6779,
414.01492,7090.5276,
414.04339,7096.0616,
414.07186,7058.9889,
414.10033,7062.2174,
414.12880,7079.4753,
414.15727,7040.7064,
414.18574,7046.353,
414.21421,7068.2084,
414.24268,7068.0629,
414.27115,7067.6526,
414.29962,7096.9516,
414.32809,7119.1615,
414.35656,7087.6289,
414.38503,7070.128,
414.41350,7067.6332,
414.44197,7074.6337,
414.47044,7074.6929,
414.49891,7068.8125,
414.52738,7074.8767,
414.55585,7109.6432,
414.58432,7074.4478,
414.61279,7077.8872,
414.64126,7119.1375,
414.66973,7104.1633,
414.69820,7133.2906,
414.72667,7130.9474,
414.75514,7151.3683,
414.78361,7135.8874,
414.81208,7163.7092,
414.84055,7133.8455,
414.86902,7170.7758,
414.89749,7168.0557,
414.92596,7167.7143,
414.95443,7134.1069,
414.98290,7139.9937,
415.01137,7147.8412,
415.03984,7183.5713,
415.06831,7135.038,
415.09678,7120.9117,
